p,size of spine,size of center,size of graph,Fp vertices in center
5,1,1,1,1
7,1,1,1,1
11,2,2,2,2
13,1,1,1,1
17,2,2,2,2
19,2,2,2,2
23,3,1,3,1
29,3,1,3,1
31,3,1,3,1
37,1,3,3,1
41,4,2,4,2
43,2,1,4,1
47,5,2,5,2
53,3,3,5,1
59,6,1,6,1
61,3,3,5,1
67,2,3,6,1
71,7,2,7,2
73,2,3,6,1
79,5,3,7,3
83,6,3,8,1
89,6,1,8,1
97,2,5,8,1
101,7,1,9,1
103,5,2,9,2
107,6,5,10,1
109,3,3,9,1
113,4,6,10,2
127,5,5,11,3
131,10,2,12,0
137,4,6,12,0
139,6,3,12,1
149,7,5,13,1
151,7,7,13,5
157,3,4,13,0
163,2,5,14,1
167,11,8,15,6
173,7,6,15,2
179,10,2,16,0
181,5,2,15,0
191,13,1,17,1
193,2,4,16,2
197,5,14,17,2
199,9,5,17,3
211,6,2,18,0
223,7,8,19,4
227,10,4,20,0
229,5,2,19,0
233,6,12,20,0
239,15,5,21,3
241,6,6,20,0
251,14,2,22,2
257,8,1,22,1
263,13,5,23,5
269,11,2,23,0
271,11,1,23,1
277,3,4,23,0
281,10,17,24,5
283,6,15,24,1
293,9,2,25,0
307,6,11,26,1
311,19,1,27,1
313,4,12,26,0
317,5,2,27,0
331,6,2,28,0
337,4,1,28,1
347,10,15,30,1
349,7,8,29,2
353,8,2,30,0
359,19,9,31,5
367,9,4,31,2
373,5,2,31,0
379,6,22,32,2
383,17,5,33,3
389,11,2,33,0
397,3,2,33,0
401,10,13,34,1
409,8,3,34,1
419,18,2,36,0
421,5,27,35,3
431,21,3,37,1
433,6,2,36,0
439,15,6,37,4
443,10,9,38,1
449,10,6,38,0
457,4,6,38,0
461,15,15,39,3
463,7,7,39,1
467,14,24,40,4
479,25,31,41,15
487,7,3,41,1
491,18,6,42,0
499,6,2,42,0
503,21,28,43,10
509,15,4,43,0
521,16,4,44,0
523,10,1,44,1
541,5,6,45,2
547,6,2,46,0
557,9,10,47,0
563,18,10,48,2
569,16,2,48,0
571,10,28,48,4
577,4,12,48,0
587,14,21,50,1
593,12,21,50,1
599,25,8,51,6
601,10,27,50,3
607,13,25,51,7
613,5,27,51,1
617,6,32,52,2
619,10,14,52,0
631,13,24,53,6
641,14,25,54,3
643,6,8,54,0
647,23,17,55,5
653,7,29,55,1
659,22,14,56,0
661,9,17,55,3
673,6,1,56,1
677,15,16,57,0
683,10,18,58,2
691,10,19,58,1
701,17,16,59,0
709,5,26,59,0
719,31,6,61,2
727,13,2,61,0
733,7,8,61,0
739,10,30,62,2
743,21,11,63,5
751,15,30,63,8
757,5,14,63,0
761,20,5,64,1
769,10,2,64,0
773,13,10,65,0
787,10,6,66,0
797,15,6,67,0
809,16,50,68,6
811,14,10,68,2
821,15,2,69,0
823,9,57,69,7
827,14,14,70,0
829,11,6,69,0
839,33,2,71,0
853,5,10,71,0
857,16,2,72,0
859,14,6,72,0
863,21,12,73,2
877,5,10,73,2
881,20,4,74,0
883,6,16,74,0
887,29,2,75,2
907,6,12,76,0
911,31,2,77,2
919,19,8,77,6
929,18,39,78,3
937,10,40,78,4
941,23,30,79,2
947,10,48,80,0
953,16,8,80,0
967,11,4,81,2
971,30,20,82,2
977,10,11,82,1
983,27,30,83,6
991,17,2,83,2
997,7,2,83,0
1009,10,61,84,5
1013,13,2,85,0
1019,26,39,86,1
1021,11,6,85,0
1031,35,33,87,13
1033,6,45,86,1
1039,23,46,87,10
1049,22,35,88,3
1051,10,43,88,7
1061,13,20,89,4
1063,19,44,89,12
1069,15,72,89,6
1087,9,54,91,6
1091,34,11,92,1
1093,5,51,91,1
1097,18,32,92,0
1103,23,49,93,9
1109,25,8,93,0
1117,7,2,93,0
1123,10,16,94,0
1129,8,1,94,1
1151,41,22,97,4
1153,8,33,96,1
1163,14,28,98,2
1171,14,35,98,3
1181,23,20,99,0
1187,18,32,100,0
1193,18,29,100,1
1201,8,19,100,3
1213,5,46,101,0
1217,16,22,102,2
1223,35,11,103,3
1229,19,25,103,1
1231,27,37,103,7
1237,7,21,103,1
1249,16,31,104,1
1259,30,14,106,2
1277,17,12,107,0
1279,23,21,107,5
1283,22,14,108,0
1289,18,31,108,1
1291,18,22,108,0
1297,6,39,108,1
1301,25,12,109,0
1303,11,20,109,4
1307,22,6,110,0
1319,45,1,111,1
1321,12,6,110,0
1327,15,20,111,6
1361,30,13,114,1
1367,25,6,115,4
1373,9,20,115,0
1381,13,21,115,1
1399,27,9,117,3
1409,18,6,118,0
1423,9,4,119,0
1427,30,19,120,1
1429,11,21,119,1
1433,18,2,120,0
1439,39,3,121,1
1447,23,10,121,0
1451,26,14,122,0
1453,7,34,121,0
1459,22,2,122,0
1471,23,7,123,5
1481,26,2,124,0
1483,14,4,124,0
1487,37,2,125,0
1489,10,10,124,2
1493,11,12,125,0
1499,26,2,126,0
1511,49,1,127,1
1523,14,4,128,0
1531,22,6,128,0
1543,19,2,129,0
1549,9,18,129,0
1553,20,4,130,0
1559,51,1,131,1
1567,15,57,131,3
1571,34,4,132,0
1579,18,4,132,0
1583,33,8,133,0
