prime,compDiamData,fullDiamData
17,"([1], 1, 1, 1)",1
19,"([1], 1, 1, 1)",1
23,"([2], 2, 2, 2)",2
29,"([2], 2, 2, 2)",2
31,"([2], 2, 2, 2)",2
37,"([0], 0, 0, 0)",0
41,"([3], 3, 3, 3)",3
43,"([1], 1, 1, 1)",1
47,"([3], 3, 3, 3)",3
53,"([1, 0], 1/2, 1/2, 0)",1/2
59,"([4], 4, 4, 4)",4
61,"([1, 0], 1/2, 1/2, 0)",1/2
67,"([1], 1, 1, 1)",1
71,"([3], 3, 3, 3)",3
73,"([1], 1, 1, 1)",1
79,"([3], 3, 3, 3)",3
83,"([2, 1], 3/2, 3/2, 1)",3/2
89,"([3, 1], 2, 2, 1)",2
97,"([1], 1, 1, 1)",1
101,"([3, 1, 0], 4/3, 1, 0)",4/3
103,"([3], 3, 3, 3)",3
107,"([2, 1], 3/2, 3/2, 1)",3/2
109,"([1, 0], 1/2, 1/2, 0)",1/2
113,"([1, 1], 1, 1, 1)",1
127,"([3], 3, 3, 3)",3
131,"([5, 1], 3, 3, 1)",3
137,"([1, 1], 1, 1, 1)",1
139,"([2, 1], 3/2, 3/2, 1)",3/2
149,"([3, 1, 0], 4/3, 1, 0)",4/3
151,"([4], 4, 4, 4)",4
157,"([1, 0], 1/2, 1/2, 0)",1/2
163,"([1], 1, 1, 1)",1
167,"([6], 6, 6, 6)",6
173,"([1, 1, 1, 0], 3/4, 1, 1)",3/4
179,"([5, 1], 3, 3, 1)",3
181,"([1, 1, 0], 2/3, 1, 1)",2/3
191,"([6], 6, 6, 6)",6
193,"([1], 1, 1, 1)",1
197,"([1, 1, 0], 2/3, 1, 1)",2/3
199,"([5], 5, 5, 5)",5
211,"([2, 1], 3/2, 3/2, 1)",3/2
223,"([4], 4, 4, 4)",4
227,"([2, 2, 1], 5/3, 2, 2)",5/3
229,"([1, 1, 0], 2/3, 1, 1)",2/3
233,"([1, 1, 1], 1, 1, 1)",1
239,"([7], 7, 7, 7)",7
241,"([1, 1, 1], 1, 1, 1)",1
251,"([5, 2, 1], 8/3, 2, 1)",8/3
257,"([1, 1, 1, 1], 1, 1, 1)",1
263,"([7], 7, 7, 7)",7
269,"([3, 1, 1, 1, 0], 6/5, 1, 1)",6/5
271,"([6], 6, 6, 6)",6
277,"([1, 0], 1/2, 1/2, 0)",1/2
281,"([3, 1, 1, 1], 3/2, 1, 1)",3/2
283,"([2, 1], 3/2, 3/2, 1)",3/2
293,"([1, 1, 1, 1, 0], 4/5, 1, 1)",4/5
307,"([2, 1], 3/2, 3/2, 1)",3/2
311,"([9], 9, 9, 9)",9
313,"([1, 1], 1, 1, 1)",1
317,"([1, 1, 0], 2/3, 1, 1)",2/3
331,"([2, 1], 3/2, 3/2, 1)",3/2
337,"([1, 1], 1, 1, 1)",1
347,"([2, 2, 1], 5/3, 2, 2)",5/3
349,"([1, 1, 1, 0], 3/4, 1, 1)",3/4
353,"([1, 1, 1, 1], 1, 1, 1)",1
359,"([8], 8, 8, 8)",8
367,"([5], 5, 5, 5)",5
373,"([1, 1, 0], 2/3, 1, 1)",2/3
379,"([2, 1], 3/2, 3/2, 1)",3/2
383,"([9], 9, 9, 9)",9
389,"([3, 1, 1, 1, 0], 6/5, 1, 1)",6/5
397,"([1, 0], 1/2, 1/2, 0)",1/2
401,"([3, 1, 1, 1], 3/2, 1, 1)",3/2
409,"([1, 1, 1, 1], 1, 1, 1)",1
419,"([5, 2, 2, 1], 5/2, 2, 2)",5/2
